main,code,level,title,description,descriptor,exclusion_list,exclusion_description,exclusion_title
A,01,divisione,"coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi","Questa divisione include due attività di base, la produzione derivante da coltivazioni agricole e la produzione di prodotti animali; includendo anche le forme di agricoltura biologica, coltivazione di prodotti geneticamente modificati e l'allevamento di animali geneticamente modificati. Questa divisione include la coltivazione di colture in piena aria ed in serre. Questa divisione include le coltivazioni di colture fuori suolo, inclusa idroponica e acquaponica; l'acquaponica rappresenta un sistema produttivo che prevede la produzione combinata di prodotti agricoli e prodotti della pesca: le attività che utilizzano tale tecnica sono classificate nella divisione 01 solo se le coltivazioni agricole rappresentano il principale output dell'attività, altrimenti sono classificate nella divisione 03. Sono considerate coltivazioni ottenute con tecniche convenzionali anche quelle dove la pianta sia allevata in contenitori e non a terra. Inoltre, sono incluse le attività di servizio accessorie all'agricoltura, alla caccia e alle attività a queste relative. Il gruppo 01.5 (Coltivazioni agricole associate all'allevamento di animali: attività mista) costituisce una eccezione ai principi generali adottati per l'identificazione dell'attività principale. Si ammette che un'azienda agricola possa avere una ben bilanciata produzione sia agricola che animale. In questo caso sarebbe arbitrario classificare l'azienda in una categoria o nell'altra. L'attività agricola esclude qualsiasi lavorazione successiva dei prodotti agricoli (classificata nelle divisioni 10 e 11 (Produzione di prodotti alimentari e bevande) e nella divisione 12 (Produzione di prodotti del tabacco), ad eccezione di quelle necessarie per preparare i prodotti per i mercati primari. Comunque, come eccezione alla regola generale di classificazione delle attività svolte in maniera integrata, una unità che trasforma in prevalenza i propri prodotti agricoli all'interno dell'azienda viene classificata nella 01 (Agricoltura), anche se l'output normalmente è un prodotto della sezione C (Attività manifatturiere). Ne sono esempi: - la produzione di vino da uve prevalentemente proprie; - la produzione di olio di pressione da olive prevalentemente proprie. Dalla divisione sono esclusi i lavori di movimento terra per l'agricoltura (ad esempio: il terrazzamento di terreni agricoli, il drenaggio, la preparazione di risaie eccetera) classificati nella sezione F (Costruzioni) ed i gruppi di acquisto e le associazioni cooperative che svolgono attività di commercializzazione di prodotti agricoli, classificate nella sezione G. È anche esclusa l'attività di cura e manutenzione del paesaggio (81.30).","# coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi

Questa divisione include due attività di base, la produzione derivante da coltivazioni agricole e la produzione di prodotti animali; includendo anche le forme di agricoltura biologica, coltivazione di prodotti geneticamente modificati e l'allevamento di animali geneticamente modificati. Questa divisione include la coltivazione di colture in piena aria ed in serre. Questa divisione include le coltivazioni di colture fuori suolo, inclusa idroponica e acquaponica; l'acquaponica rappresenta un sistema produttivo che prevede la produzione combinata di prodotti agricoli e prodotti della pesca: le attività che utilizzano tale tecnica sono classificate nella divisione 01 solo se le coltivazioni agricole rappresentano il principale output dell'attività, altrimenti sono classificate nella divisione 03. Sono considerate coltivazioni ottenute con tecniche convenzionali anche quelle dove la pianta sia allevata in contenitori e non a terra. Inoltre, sono incluse le attività di servizio accessorie all'agricoltura, alla caccia e alle attività a queste relative. Il gruppo 01.5 (Coltivazioni agricole associate all'allevamento di animali: attività mista) costituisce una eccezione ai principi generali adottati per l'identificazione dell'attività principale. Si ammette che un'azienda agricola possa avere una ben bilanciata produzione sia agricola che animale. In questo caso sarebbe arbitrario classificare l'azienda in una categoria o nell'altra. L'attività agricola esclude qualsiasi lavorazione successiva dei prodotti agricoli (classificata nelle divisioni 10 e 11 (Produzione di prodotti alimentari e bevande) e nella divisione 12 (Produzione di prodotti del tabacco), ad eccezione di quelle necessarie per preparare i prodotti per i mercati primari. Comunque, come eccezione alla regola generale di classificazione delle attività svolte in maniera integrata, una unità che trasforma in prevalenza i propri prodotti agricoli all'interno dell'azienda viene classificata nella 01 (Agricoltura), anche se l'output normalmente è un prodotto della sezione C (Attività manifatturiere). Ne sono esempi: - la produzione di vino da uve prevalentemente proprie; - la produzione di olio di pressione da olive prevalentemente proprie. Dalla divisione sono esclusi i lavori di movimento terra per l'agricoltura (ad esempio: il terrazzamento di terreni agricoli, il drenaggio, la preparazione di risaie eccetera) classificati nella sezione F (Costruzioni) ed i gruppi di acquisto e le associazioni cooperative che svolgono attività di commercializzazione di prodotti agricoli, classificate nella sezione G. È anche esclusa l'attività di cura e manutenzione del paesaggio (81.30).
",,,
A,02,divisione,silvicoltura ed utilizzo di aree forestali,"Questa divisione include la produzione di tronchi (tondame) per le industrie del settore così come l'estrazione e la raccolta di altri materiali dalle foreste e dai boschi incolti. Oltre alla produzione di tronchi (tondame) le attività forestali danno prodotti che vengono sottoposti ad una minima lavorazione, quali la legna da ardere, il carbone, o il legname triturato e i tronchi (tondame) utilizzati in forma non lavorata (per esempio, puntelli per miniere, pasta di cellulosa eccetera). Queste attività possono essere effettuate in foreste naturali o create dall'uomo. È escluso ogni ulteriore trattamento del legno a cominciare dal taglio e dalla piallatura, cfr. divisione 16.","# silvicoltura ed utilizzo di aree forestali

Questa divisione include la produzione di tronchi (tondame) per le industrie del settore così come l'estrazione e la raccolta di altri materiali dalle foreste e dai boschi incolti. Oltre alla produzione di tronchi (tondame) le attività forestali danno prodotti che vengono sottoposti ad una minima lavorazione, quali la legna da ardere, il carbone, o il legname triturato e i tronchi (tondame) utilizzati in forma non lavorata (per esempio, puntelli per miniere, pasta di cellulosa eccetera). Queste attività possono essere effettuate in foreste naturali o create dall'uomo. È escluso ogni ulteriore trattamento del legno a cominciare dal taglio e dalla piallatura, cfr. divisione 16.
",,,
A,03,divisione,pesca e acquacoltura,"Questa divisione include la pesca e l'acquacoltura, e comprende lo sfruttamento delle risorse ittiche da ambienti marini, salmastri o d'acqua dolce, allo scopo di catturare o raccogliere pesci, crostacei, molluschi o altri organismi marini (per esempio, alghe, perle, spugne eccetera). Sono incluse anche le attività che normalmente rientrano nel processo di produzione in proprio (per esempio, innesto di ostriche per la produzione di perle). Le attività di servizi inerenti alla pesca marina o in acqua dolce o all'acquacoltura sono incluse nelle relative attività di pesca o acquacoltura. Questa divisione non include la costruzione e la riparazione di navi ed imbarcazioni (30.1, 33.15) e le attività di pesca sportiva o praticata per divertimento (93.19). La lavorazione del pesce, dei crostacei o dei molluschi è esclusa, sia in caso di lavorazione prevalentemente in strutture a terra che su navi attrezzate esclusivamente a tale scopo (10.20). Questa divisione include l'acquaponica, un sistema produttivo che prevede la produzione combinata di prodotti agricoli e prodotti della pesca: le attività che utilizzano tale tecnica sono classificate nella divisione 01 solo se le coltivazioni agricole rappresentano il principale output dell¿attività, altrimenti sono classificate nel gruppo 03.2.","# pesca e acquacoltura

Questa divisione include la pesca e l'acquacoltura, e comprende lo sfruttamento delle risorse ittiche da ambienti marini, salmastri o d'acqua dolce, allo scopo di catturare o raccogliere pesci, crostacei, molluschi o altri organismi marini (per esempio, alghe, perle, spugne eccetera). Sono incluse anche le attività che normalmente rientrano nel processo di produzione in proprio (per esempio, innesto di ostriche per la produzione di perle). Le attività di servizi inerenti alla pesca marina o in acqua dolce o all'acquacoltura sono incluse nelle relative attività di pesca o acquacoltura. Questa divisione non include la costruzione e la riparazione di navi ed imbarcazioni (30.1, 33.15) e le attività di pesca sportiva o praticata per divertimento (93.19). La lavorazione del pesce, dei crostacei o dei molluschi è esclusa, sia in caso di lavorazione prevalentemente in strutture a terra che su navi attrezzate esclusivamente a tale scopo (10.20). Questa divisione include l'acquaponica, un sistema produttivo che prevede la produzione combinata di prodotti agricoli e prodotti della pesca: le attività che utilizzano tale tecnica sono classificate nella divisione 01 solo se le coltivazioni agricole rappresentano il principale output dell¿attività, altrimenti sono classificate nel gruppo 03.2.
",,,
B,05,divisione,estrazione di carbone (esclusa torba),"Questa divisione include l'estrazione di combustibili minerali solidi attraverso le attività di estrazione in sotterraneo e a cielo aperto e include le operazioni necessarie per ottenere un prodotto commerciabile (per esempio, cernita, lavaggio, compressione ed altre fasi necessarie al trasporto eccetera). Questa divisione non include le attività di cokeria (cfr. 19.10), come pure i servizi connessi all'estrazione di carbone o lignite (cfr. 09.90) o la bricchettatura (cfr. 19.20).","# estrazione di carbone (esclusa torba)

Questa divisione include l'estrazione di combustibili minerali solidi attraverso le attività di estrazione in sotterraneo e a cielo aperto e include le operazioni necessarie per ottenere un prodotto commerciabile (per esempio, cernita, lavaggio, compressione ed altre fasi necessarie al trasporto eccetera). Questa divisione non include le attività di cokeria (cfr. 19.10), come pure i servizi connessi all'estrazione di carbone o lignite (cfr. 09.90) o la bricchettatura (cfr. 19.20).
",,,
B,06,divisione,estrazione di petrolio greggio e di gas naturale,"Questa divisione include la produzione di petrolio greggio, l'estrazione di oli da scisti bituminosi e sabbie petrolifere, la produzione di gas naturale nonché il recupero di idrocarburi liquidi. Comprende anche le attività di gestione e/o sviluppo dei siti che contengono oli e gas naturali. Tali attività possono includere la trivellazione, il completamento e l'allestimento dei pozzi; l'uso di separatori, di attrezzature per la rottura dell'emulsione, di apparecchiature per la fangatura e di linee di raccolta per il petrolio greggio; sono incluse anche tutte le altre attività legate alla preparazione del petrolio e del gas dal sito di produzione al punto di spedizione. Sono escluse le seguenti attività: - servizi sul campo effettuati per conto terzi, cfr. 09.10 - servizi di prospezione, cfr. 09.10 - servizi di trivellazioni di prova, cfr. 09.10 - raffinazione dei prodotti petroliferi, cfr. 19.20 - prospezioni geofisiche, geologiche e sismiche, cfr. 71.12","# estrazione di petrolio greggio e di gas naturale

Questa divisione include la produzione di petrolio greggio, l'estrazione di oli da scisti bituminosi e sabbie petrolifere, la produzione di gas naturale nonché il recupero di idrocarburi liquidi. Comprende anche le attività di gestione e/o sviluppo dei siti che contengono oli e gas naturali. Tali attività possono includere la trivellazione, il completamento e l'allestimento dei pozzi; l'uso di separatori, di attrezzature per la rottura dell'emulsione, di apparecchiature per la fangatura e di linee di raccolta per il petrolio greggio; sono incluse anche tutte le altre attività legate alla preparazione del petrolio e del gas dal sito di produzione al punto di spedizione. Sono escluse le seguenti attività: - servizi sul campo effettuati per conto terzi, cfr. 09.10 - servizi di prospezione, cfr. 09.10 - servizi di trivellazioni di prova, cfr. 09.10 - raffinazione dei prodotti petroliferi, cfr. 19.20 - prospezioni geofisiche, geologiche e sismiche, cfr. 71.12

Questa sezione ATECO non comprende le seguenti attività:

- servizi sul campo effettuati per conto terzi, cfr. 09.10 - servizi di prospezione, cfr. 09.10 - servizi di trivellazioni di prova, cfr. 09.10 - raffinazione dei prodotti petroliferi, cfr. 19.20 - prospezioni geofisiche, geologiche e sismiche, cfr. 71.12, 
","- servizi sul campo effettuati per conto terzi, cfr. 09.10 - servizi di prospezione, cfr. 09.10 - servizi di trivellazioni di prova, cfr. 09.10 - raffinazione dei prodotti petroliferi, cfr. 19.20 - prospezioni geofisiche, geologiche e sismiche, cfr. 71.12",,
B,07,divisione,estrazione di minerali metalliferi,"Questa divisione include l'estrazione di minerali metalliferi, effettuata in sotterraneo o a cielo aperto, estrazioni marine eccetera. Sono comprese anche le operazioni di arricchimento dei minerali quali la frantumazione, la macinazione, il lavaggio, l'essiccazione, la sinterizzazione, la calcinazione o la lisciviazione, la separazione gravimetrica o le operazioni di flottazione. Sono escluse le seguenti attività: - arrostimento di pirite ferrosa, cfr. 20.13 - produzione di ossido di alluminio, cfr. 24.42 - gestione di altiforni, cfr. divisione 24","# estrazione di minerali metalliferi

Questa divisione include l'estrazione di minerali metalliferi, effettuata in sotterraneo o a cielo aperto, estrazioni marine eccetera. Sono comprese anche le operazioni di arricchimento dei minerali quali la frantumazione, la macinazione, il lavaggio, l'essiccazione, la sinterizzazione, la calcinazione o la lisciviazione, la separazione gravimetrica o le operazioni di flottazione. Sono escluse le seguenti attività: - arrostimento di pirite ferrosa, cfr. 20.13 - produzione di ossido di alluminio, cfr. 24.42 - gestione di altiforni, cfr. divisione 24

Questa sezione ATECO non comprende le seguenti attività:

- arrostimento di pirite ferrosa, cfr. 20.13 - produzione di ossido di alluminio, cfr. 24.42 - gestione di altiforni, cfr. divisione 24, 
","- arrostimento di pirite ferrosa, cfr. 20.13 - produzione di ossido di alluminio, cfr. 24.42 - gestione di altiforni, cfr. divisione 24",,
B,08,divisione,altre attività di estrazione di minerali da cave e miniere,"Questa divisione include non solo l'estrazione da cave e miniere, ma anche il dragaggio di depositi alluvionali, la frantumazione di rocce e l'utilizzo di paludi salmastre. I prodotti vengono utilizzati principalmente per le costruzioni (ad esempio: sabbie, pietre eccetera), la produzione di materiali (ad esempio: argilla, pietra da gesso, calcio eccetera), la produzione di prodotti chimici eccetera. Questa divisione non include la lavorazione dei minerali estratti (esclusa la frantumazione, la macinazione, il taglio, il lavaggio, l'essiccazione, la cernita e la miscelazione).","# altre attività di estrazione di minerali da cave e miniere

Questa divisione include non solo l'estrazione da cave e miniere, ma anche il dragaggio di depositi alluvionali, la frantumazione di rocce e l'utilizzo di paludi salmastre. I prodotti vengono utilizzati principalmente per le costruzioni (ad esempio: sabbie, pietre eccetera), la produzione di materiali (ad esempio: argilla, pietra da gesso, calcio eccetera), la produzione di prodotti chimici eccetera. Questa divisione non include la lavorazione dei minerali estratti (esclusa la frantumazione, la macinazione, il taglio, il lavaggio, l'essiccazione, la cernita e la miscelazione).

Questa sezione ATECO non comprende le seguenti attività:

, esclusa la frantumazione, la macinazione, il taglio, il lavaggio, l'essiccazione, la cernita e la miscelazione
",,"esclusa la frantumazione, la macinazione, il taglio, il lavaggio, l'essiccazione, la cernita e la miscelazione",
B,09,divisione,attività dei servizi di supporto all'estrazione,"Questa divisione include i servizi di supporto specialistico alle attività di estrazione per conto terzi. Include i servizi di esplorazione, effettuati tramite metodi tradizionali come la raccolta di campioni e le osservazioni geologiche, oltre alla trivellazione, ai test di trivellazione, alla ritrivellazione di pozzi petroliferi e di miniere di minerali metalliferi e non metalliferi. Altri servizi tipici riguardano la costruzione delle fondamenta per i pozzi petroliferi e di gas, l'intonaco delle pareti dei pozzi, il lavaggio, lo spurgo e la pulitura dei pozzi, il drenaggio e il pompaggio delle miniere, la rimozione delle macerie dalle miniere eccetera.","# attività dei servizi di supporto all'estrazione

Questa divisione include i servizi di supporto specialistico alle attività di estrazione per conto terzi. Include i servizi di esplorazione, effettuati tramite metodi tradizionali come la raccolta di campioni e le osservazioni geologiche, oltre alla trivellazione, ai test di trivellazione, alla ritrivellazione di pozzi petroliferi e di miniere di minerali metalliferi e non metalliferi. Altri servizi tipici riguardano la costruzione delle fondamenta per i pozzi petroliferi e di gas, l'intonaco delle pareti dei pozzi, il lavaggio, lo spurgo e la pulitura dei pozzi, il drenaggio e il pompaggio delle miniere, la rimozione delle macerie dalle miniere eccetera.
",,,
C,10,divisione,industrie alimentari,"Questa divisione include la trasformazione di prodotti dell'agricoltura, della silvicoltura e della pesca in alimenti e bevande commestibili per l'uomo o per gli animali, nonché la produzione di vari prodotti intermedi da non considerare alla stregua dei prodotti alimentari (ad esempio, pellame proveniente dai macelli, panelli provenienti dalla produzione di olio). Questa divisione è organizzata per attività riguardanti diversi tipi di prodotti: carne, pesce, frutta e ortaggi, grassi ed oli, prodotti lattiero-caseari, granaglie, prodotti di panetteria e farinacei, altri prodotti alimentari e mangimi per animali. La produzione può essere effettuata per conto proprio o per conto terzi, come nel caso della macellazione su ordinazione. Questa divisione non include la preparazione di pasti per il consumo immediato come nei ristoranti. Alcune attività sono considerate manifatturiere (panetterie che vendono i propri prodotti) anche se l'unità che le espleta vende al dettaglio in un proprio negozio. Tuttavia, nel caso in cui la lavorazione sia minima e non conduca ad una reale trasformazione, l'unità viene classificata nella sezione Commercio all'ingrosso e al dettaglio (sezione G). La preparazione di alimenti per il consumo immediato sul posto è classificata nella divisione 56 (Attività di ristorazione). Il trattamento di scarti della macellazione per la produzione di alimenti per animali è classificato nel gruppo 10.9 relativo ai prodotti per l'alimentazione degli animali, mentre la trasformazione di cascami di alimenti e bevande in materie prime secondarie è classificata nel gruppo 38.3 (Recupero dei materiali) e lo smaltimento di cascami di alimenti e bevande è inserito nella classe 38.21 (Trattamento e smaltimento di rifiuti non pericolosi).","# industrie alimentari

Questa divisione include la trasformazione di prodotti dell'agricoltura, della silvicoltura e della pesca in alimenti e bevande commestibili per l'uomo o per gli animali, nonché la produzione di vari prodotti intermedi da non considerare alla stregua dei prodotti alimentari (ad esempio, pellame proveniente dai macelli, panelli provenienti dalla produzione di olio). Questa divisione è organizzata per attività riguardanti diversi tipi di prodotti: carne, pesce, frutta e ortaggi, grassi ed oli, prodotti lattiero-caseari, granaglie, prodotti di panetteria e farinacei, altri prodotti alimentari e mangimi per animali. La produzione può essere effettuata per conto proprio o per conto terzi, come nel caso della macellazione su ordinazione. Questa divisione non include la preparazione di pasti per il consumo immediato come nei ristoranti. Alcune attività sono considerate manifatturiere (panetterie che vendono i propri prodotti) anche se l'unità che le espleta vende al dettaglio in un proprio negozio. Tuttavia, nel caso in cui la lavorazione sia minima e non conduca ad una reale trasformazione, l'unità viene classificata nella sezione Commercio all'ingrosso e al dettaglio (sezione G). La preparazione di alimenti per il consumo immediato sul posto è classificata nella divisione 56 (Attività di ristorazione). Il trattamento di scarti della macellazione per la produzione di alimenti per animali è classificato nel gruppo 10.9 relativo ai prodotti per l'alimentazione degli animali, mentre la trasformazione di cascami di alimenti e bevande in materie prime secondarie è classificata nel gruppo 38.3 (Recupero dei materiali) e lo smaltimento di cascami di alimenti e bevande è inserito nella classe 38.21 (Trattamento e smaltimento di rifiuti non pericolosi).
",,,
C,11,divisione,industria delle bevande,"Questa divisione include la produzione di bevande alcoliche distillate, di bevande alcoliche ottenute tramite fermentazione, di birra e vino, di bevande analcoliche e acqua minerale. Sono escluse le seguenti attività: - produzione di succhi di frutta e di ortaggi, cfr. 10.32 - produzione di bevande a base di latte, cfr. 10.51 - produzione di prodotti a base di caffè, tè e matè, cfr. 10.83","# industria delle bevande

Questa divisione include la produzione di bevande alcoliche distillate, di bevande alcoliche ottenute tramite fermentazione, di birra e vino, di bevande analcoliche e acqua minerale. Sono escluse le seguenti attività: - produzione di succhi di frutta e di ortaggi, cfr. 10.32 - produzione di bevande a base di latte, cfr. 10.51 - produzione di prodotti a base di caffè, tè e matè, cfr. 10.83

Questa sezione ATECO non comprende le seguenti attività:

- produzione di succhi di frutta e di ortaggi, cfr. 10.32 - produzione di bevande a base di latte, cfr. 10.51 - produzione di prodotti a base di caffè, tè e matè, cfr. 10.83, 
","- produzione di succhi di frutta e di ortaggi, cfr. 10.32 - produzione di bevande a base di latte, cfr. 10.51 - produzione di prodotti a base di caffè, tè e matè, cfr. 10.83",,
